source,episode,t_env,mode,ep_length,on_time_rate,avg_delay,order_generate_rate,total_completed
backend_wx,1,0,train,974,0.94,5.76,19.48,50
backend_wx,2,974,test,2000,0.9183673469387755,7.959183673469388,40.0,49
backend_wx,3,974,train,1002,0.96,2.72,20.04,50
backend_wx,4,1976,train,1049,0.94,4.3,20.98,50
backend_wx,5,3025,train,1006,0.96,2.58,20.12,50
backend_wx,6,4031,train,977,0.98,1.9,19.54,50
backend_wx,7,5008,train,1001,0.98,2.3,20.02,50
backend_wx,8,6009,train,1003,0.96,3.5,20.06,50
backend_wx,9,7012,train,1002,0.96,3.26,20.04,50
backend_wx,10,8014,train,1002,0.98,2.48,20.04,50
backend_wx,11,9016,train,946,0.98,1.38,18.92,50
backend_wx,12,9962,train,1016,0.96,3.14,20.32,50
backend_wx,13,10978,test,999,0.94,3.68,19.98,50
backend_wx,14,10978,train,966,0.96,2.46,19.32,50
backend_wx,15,11944,train,916,0.98,0.02,18.32,50
backend_wx,16,12860,train,940,0.98,1.38,18.8,50
backend_wx,17,13800,train,901,0.98,0.26,18.02,50
backend_wx,18,14701,train,1022,0.9,5.52,20.44,50
backend_wx,19,15723,train,1008,0.94,3.36,20.16,50
backend_wx,20,16731,train,1065,0.98,2.46,21.3,50
backend_wx,21,17796,train,1061,0.94,4.76,21.22,50
backend_wx,22,18857,train,1059,0.96,2.24,21.18,50
backend_wx,23,19916,train,1070,1.0,0.0,21.4,50
backend_wx,24,20986,test,1057,0.96,1.88,21.14,50
backend_wx,25,20986,train,1067,0.98,1.84,21.34,50
backend_wx,26,22053,train,1002,0.98,1.66,20.04,50
backend_wx,27,23055,train,1058,0.96,2.3,21.16,50
backend_wx,28,24113,train,1001,0.98,1.6,20.02,50
backend_wx,29,25114,train,1000,0.96,3.46,20.0,50
backend_wx,30,26114,train,1042,0.98,2.26,20.84,50
backend_wx,31,27156,train,1055,0.9,7.88,21.1,50
backend_wx,32,28211,train,1054,0.98,0.62,21.08,50
backend_wx,33,29265,train,995,1.0,0.0,19.9,50
backend_wx,34,30260,train,1038,0.96,1.7,20.76,50
backend_wx,35,31298,test,1056,0.94,4.08,21.12,50
backend_wx,36,31298,train,1005,0.96,2.92,20.1,50
backend_wx,37,32303,train,931,0.98,1.6,18.62,50
backend_wx,38,33234,train,930,1.0,0.0,18.6,50
backend_wx,39,34164,train,981,0.94,1.74,19.62,50
backend_wx,40,35145,train,979,0.92,3.18,19.58,50
backend_wx,41,36124,train,986,0.98,0.44,19.72,50
backend_wx,42,37110,train,977,0.96,1.04,19.54,50
backend_wx,43,38087,train,1010,1.0,0.0,20.2,50
backend_wx,44,39097,train,1008,0.98,0.42,20.16,50
backend_wx,45,40105,train,975,0.98,0.1,19.5,50
backend_wx,46,41080,train,855,1.0,0.0,17.1,50
backend_wx,47,41935,test,921,0.94,6.9,18.42,50
backend_wx,48,41935,train,920,0.94,4.2,18.4,50
backend_wx,49,42855,train,920,0.94,2.06,18.4,50
backend_wx,50,43775,train,968,0.96,1.84,19.36,50
backend_wx,51,44743,train,919,0.98,1.6,18.38,50
backend_wx,52,45662,train,965,0.92,7.72,19.3,50
backend_wx,53,46627,train,929,0.98,1.84,18.58,50
