时间步,模式,总步数,完成任务数,生成任务数,完成率,从生成到分配等待时间,从分配到实际装载上机等待时间,从上机到送达平均时间,从生成到完成总时间平均,从生成到完成总时间最大,超时率,平均时延,优先级1平均时延,优先级2平均时延,优先级3平均时延,总能量消耗
0,train,845,60,60,1.0,32.6,50.0,84.91666666666667,167.51666666666668,366.0,0.1166666666666667,5.416666666666667,8.833333333333334,4.529411764705882,1.894736842105263,86238.5406429925
845,test,986,60,60,1.0,97.2,57.36666666666667,101.46666666666667,256.03333333333336,917.0,0.41666666666666663,52.11666666666667,89.5,28.428571428571427,39.92857142857143,100570.17414881127
845,train,789,60,60,1.0,37.833333333333336,55.28333333333333,85.48333333333333,178.6,401.0,0.21666666666666667,10.483333333333333,16.04,7.842105263157895,4.9375,87153.17715896295
1634,train,895,60,60,1.0,61.36666666666667,54.28333333333333,93.98333333333333,209.63333333333333,639.0,0.2666666666666667,26.666666666666668,35.47826086956522,25.42105263157895,16.72222222222222,88287.66474100604
2529,train,842,60,60,1.0,56.65,55.8,89.01666666666667,201.46666666666667,541.0,0.23333333333333328,21.8,29.05,20.0,16.82608695652174,91335.74941179733
3371,train,986,60,60,1.0,70.75,60.233333333333334,91.78333333333333,222.76666666666668,531.0,0.3833333333333333,28.983333333333334,54.0,9.0,27.869565217391305,99487.72683246942
4357,train,893,60,60,1.0,65.33333333333333,61.483333333333334,95.2,222.01666666666668,507.0,0.31666666666666665,27.216666666666665,30.88888888888889,29.9375,18.823529411764707,92672.5684729895
5250,train,903,60,60,1.0,81.31666666666666,58.6,91.83333333333333,231.75,573.0,0.41666666666666663,30.666666666666668,18.346153846153847,60.3,11.214285714285714,95976.22982306751
6153,train,932,60,60,1.0,63.45,63.71666666666667,86.58333333333333,213.75,425.0,0.30000000000000004,19.183333333333334,21.666666666666668,19.263157894736842,17.17391304347826,93866.28634720671
7085,train,914,60,60,1.0,45.6,60.05,85.95,191.6,346.0,0.19999999999999996,9.833333333333334,8.590909090909092,15.277777777777779,6.3,92648.92047723857
7999,train,2000,58,60,0.9666666666666667,89.20689655172414,65.63793103448276,108.82758620689656,263.67241379310343,676.0,0.4655172413793104,56.51724137931034,69.9090909090909,52.68421052631579,43.470588235294116,109847.2865260958
9999,train,929,60,60,1.0,54.65,62.11666666666667,91.4,208.16666666666666,499.0,0.2666666666666667,24.05,23.095238095238095,20.3,29.05263157894737,93632.1205174962
10928,test,938,60,60,1.0,66.28333333333333,57.43333333333333,88.65,212.36666666666667,938.0,0.23333333333333328,30.75,39.5,52.15,0.6,95909.54959665019
10928,train,809,60,60,1.0,31.116666666666667,57.3,83.2,171.61666666666667,360.0,0.1166666666666667,6.25,5.181818181818182,5.35,8.555555555555555,86909.01823939613
11737,train,855,60,60,1.0,40.71666666666667,51.8,89.83333333333333,182.35,438.0,0.23333333333333328,11.766666666666667,6.875,14.823529411764707,12.74074074074074,90372.61607617865
12592,train,905,60,60,1.0,66.6,68.23333333333333,98.75,233.58333333333334,499.0,0.3666666666666667,37.63333333333333,28.428571428571427,47.07142857142857,30.11111111111111,94772.75691404472
13497,train,906,60,60,1.0,79.88333333333334,56.983333333333334,103.36666666666666,240.23333333333332,548.0,0.4,38.266666666666666,47.44444444444444,38.65217391304348,29.105263157894736,98151.8128427271
14403,train,855,60,60,1.0,69.1,53.05,98.88333333333334,221.03333333333333,507.0,0.33333333333333337,27.833333333333332,38.57142857142857,21.56,28.142857142857142,89696.37073123232
