算法,总步数,完成任务数,生成任务数,完成率,从生成到分配等待时间,从分配到实际装载上机等待时间,从上机到送达平均时间,从生成到完成总时间平均,从生成到完成总时间最大,超时率,平均时延,优先级1平均时延,优先级2平均时延,优先级3平均时延,总能量消耗
qmix_u,879,60,60,1.0,39.61666666666667,50.233333333333334,88.06666666666666,177.91666666666666,446.0,0.15000000000000002,11.55,11.173913043478262,11.88888888888889,11.68421052631579,90107.14051333873
qmix,926,60,60,1.0,38.86666666666667,55.85,90.03333333333333,184.75,396.0,0.16666666666666663,13.666666666666666,9.590909090909092,20.27777777777778,12.2,91288.64831206572


vdn_u,858,60,60,1.0,27.516666666666666,49.516666666666666,90.48333333333333,167.51666666666668,380.0,0.19999999999999996,11.933333333333334,19.391304347826086,7.285714285714286,7.3125,90823.88212298082
vdn,944,60,60,1.0,49.416666666666664,45.3,99.01666666666667,193.73333333333332,695.0,0.18333333333333335,23.75,6.777777777777778,42.77777777777778,31.466666666666665,96823.38368842963


iql_u,952,60,60,1.0,27.316666666666666,56.63333333333333,97.6,181.55,431.0,0.23333333333333328,19.633333333333333,25.5,17.38888888888889,15.2,90733.83361325019
iql,937,60,60,1.0,44.416666666666664,60.06666666666667,93.7,198.18333333333334,596.0,0.2666666666666667,27.45,24.625,16.166666666666668,42.5,97632.21007089765
